node_id,x,y,type,degree,region
0,200,174,junction,23,2
1,205,174,junction,29,2
2,225,174,junction,38,2
3,235,174,junction,29,2
4,202,176,junction,24,2
5,203,176,junction,22,2
6,203,177,junction,24,2
7,230,179,junction,28,2
8,203,180,junction,25,2
9,202,181,junction,27,2
10,203,182,junction,27,2
11,203,185,junction,25,2
12,158,186,junction,11,3
13,169,186,junction,12,3
14,203,186,junction,27,2
15,204,186,junction,27,2
16,207,186,junction,33,2
17,223,186,junction,47,2
18,229,186,junction,31,2
19,202,187,junction,24,4
20,203,188,junction,25,4
21,163,191,junction,9,3
22,230,193,junction,22,2
23,231,194,junction,21,2
24,160,195,junction,13,3
25,230,196,junction,25,2
26,229,197,junction,34,2
27,230,197,junction,31,2
28,203,199,junction,38,4
29,144,200,junction,14,3
30,225,201,junction,41,2
31,233,204,junction,30,2
32,232,205,junction,28,2
33,233,206,junction,28,2
34,232,207,junction,24,2
122,167,209,junction,31,4
123,167,210,junction,29,4
124,167,211,junction,31,4
125,167,212,junction,31,4
126,168,213,junction,31,4
35,233,217,junction,20,5
36,232,218,junction,20,5
37,233,221,junction,20,5
38,248,223,junction,22,5
39,247,224,junction,21,5
40,178,225,junction,36,4
41,179,225,junction,34,4
42,188,225,junction,33,4
43,191,225,junction,28,4
44,225,225,junction,14,5
45,248,225,junction,20,5
46,178,226,junction,36,4
47,190,226,junction,29,4
48,191,226,junction,29,4
49,158,232,junction,34,4
50,200,235,junction,32,4
51,164,238,junction,34,4
52,165,238,junction,35,4
53,165,239,junction,34,4
54,165,240,junction,33,4
55,165,241,junction,35,4
56,166,241,junction,36,4
57,133,243,junction,22,4
58,171,246,junction,36,4
59,139,249,junction,27,4
60,139,250,junction,29,4
61,140,250,junction,32,4
62,133,256,junction,33,4
63,152,257,junction,40,4
64,201,259,junction,15,4
65,204,259,junction,21,4
66,153,260,junction,34,4
67,202,260,junction,17,4
68,203,260,junction,18,4
69,152,261,junction,36,4
70,203,261,junction,18,7
71,153,262,junction,37,4
72,152,263,junction,37,4
73,153,263,junction,36,4
74,203,264,junction,23,7
75,224,271,junction,31,6
76,241,271,junction,21,6
77,172,272,junction,31,4
78,171,273,junction,28,4
79,168,274,junction,28,4
80,169,274,junction,25,4
81,172,274,junction,27,4
82,169,275,junction,25,4
83,170,276,junction,26,4
84,229,276,junction,27,6
85,236,276,junction,21,6
86,246,281,junction,26,6
87,244,282,junction,29,6
88,245,282,junction,27,6
89,245,283,junction,29,6
90,142,286,junction,32,8
91,246,286,junction,27,6
92,141,287,junction,27,8
93,245,287,junction,22,6
94,142,288,junction,29,8
95,246,288,junction,25,6
96,245,289,junction,26,6
97,246,290,junction,24,6
98,207,291,junction,21,7
99,216,291,junction,19,7
100,217,291,junction,16,7
101,217,292,junction,16,7
102,170,295,junction,17,8
103,143,296,junction,18,8
104,169,296,junction,17,8
105,170,297,junction,15,8
106,246,297,junction,23,9
107,141,300,junction,18,8
108,141,303,junction,17,8
109,142,304,junction,18,8
110,141,305,junction,17,8
111,227,305,junction,24,9
112,238,305,junction,26,9
113,201,306,junction,30,7
114,227,306,junction,24,9
115,228,306,junction,24,9
116,139,307,junction,18,8
117,200,307,junction,26,7
118,202,307,junction,27,7
119,144,308,junction,22,8
120,241,308,junction,29,9
121,222,311,junction,24,9
